game_id,name,no_of_reviews,percent,rates,pegi_rate,price
509704,Rocksmith 2014 Edition  Remastered  blink182 Song Pack II,0,0,0,-,359
509709,Rocksmith 2014 Edition  Remastered  Variety Song Pack VII,1,0,1,-,299
509717,Rocksmith 2014 Edition  Remastered  80s Mix Song Pack II,2,0,1,-,239
509728,Rocksmith 2014 Edition  Remastered  Beastie Boys Song Pack,0,0,0,-,239
509733,Rocksmith 2014 Edition  Remastered  Variety Song Pack VIII,0,0,0,-,299
566330,Guardian Of December  Soundtracks,0,0,0,-,92
566340,cloudphobia  OST,0,0,0,-,0
566350,Quizality,4,0,1,-,148
566480,Fantasy Grounds  Deadlands Reloaded Abracadabra and an Arab Cadaver Savage Worlds,0,0,0,-,102
566510,Fantasy Grounds  MiniDungeon 009 Tiikeris Revenge PFRPG,0,0,0,-,66
566560,Fighters Unleashed,2,0,1,C12,66
566590,Fantasy Grounds  Winter Eternal Adventure Guide The wastelands Savage Worlds,0,0,0,-,102
566640,DinoFense,1,0,1,-,398
566710,Red SpiderOST,1,0,1,-,186
566730,UMAWar VR,2,0,1,-,120
529830,Game Character Hub Portfolio Edition,65,63,3,-,0
566810,Pixel bomb bomb,1,0,1,-,92
512200,,0,0,0,-,0
567050,Breaking Wheel Modding Files,0,0,0,-,0
567230,Fantasy Grounds  Secrets of New York CoC,0,0,0,-,288
448750,Infinity Saga,9,0,1,-,0
567430,Dodge Master,0,0,0,-,148
567590,Altero,0,0,0,C12,0
567610,Heroes of Havoc Idle Adventures  Founders Pack,5,0,1,-,278
567900,The Metronomicon  Deck the Dubstep,1,0,1,-,0
567970,SteamHammerVR  The Soundtrack,0,0,0,-,0
1385860,Lair of the Clockwork God A Soundtrack for the End of Everything,0,0,0,-,208
568130,Gum Guy,8,0,1,-,82
568160,Mayan Prophecies Ship of Spirits Collectors Edition,6,0,1,-,278
568170,Santas Special Delivery Soundtrack,0,0,0,-,45
393710,Audials Tunebite 12  Upgrade to Platinum,0,0,0,-,398
393720,Audials Tunebite 12  Upgrade to Audials One Suite,0,0,0,-,868
393730,MegaSphere Demo,25,64,3,-,0
393770,Benji Challenges,3,0,1,-,228
393990,KaijuAGoGo Plant Zombie Shrubby Skin,0,0,0,-,30
394040,AIPD  Soundtrack,0,0,0,-,148
394050,Beach Bounce  Soundtrack,1,0,1,-,66
394090,Bounty Train  Trainium Edition,3,0,1,-,798
353830,Sid Meiers Civilization Beyond Earth  Rising Tide,539,79,2,-,895
394190,Horizon Shift Demo,0,0,0,-,0
394340,Valhalla Hills TwoHorned Helmet Edition,2,0,1,-,318
394350,Bulb Boy Demo,0,0,0,-,0
394400,Three Digits  Soundtrack,5,0,1,-,30
394710,Karma Incarnation 1 Demo,0,0,0,-,0
394790,Navpoint Demo,0,0,0,-,0
394960,The Facility,4,0,1,-,0
394990,Habitus,2,0,1,-,92
395020,Master Spy OST,5,0,1,-,102
395070,Afterlife Empire Demo,6,0,1,-,0
395100,Systematic Immunity,5,0,1,-,208
395210,SKYHILL Demo,41,65,3,-,0
395290,Galacide Art Book,0,0,0,-,66
395370,Astrobase Command,0,0,0,-,0
395441,Volume  Original Soundtrack,2,0,1,-,298
395450,I Cant Escape Darkness Original Soundtrack,0,0,0,-,120
342815,Rocksmith 2014  Thin Lizzy Song Pack,1,0,1,-,215
381290,Dragon Rider,1,0,1,-,0
582450,HACK the FBI,0,0,0,-,0
905180,Inevitable VR,9,0,1,G,0
436584,Rocksmith 2014  Collective Soul Song Pack,0,0,0,-,325
447010,Bird of Light,0,0,0,-,148
448880,Spells n Stuff,3,0,1,-,0
557460,ToledoVR,6,0,1,-,258
605040,Zarya and the Cursed Skull,3,0,1,-,186
605060,Just Beneath The Skin 2D,0,0,0,-,0
576640,GUNNVR,0,0,0,-,0
561770,Just Ignore Them,10,90,3,-,120
745450,The Finnish Virtual Art Gallery,2,0,1,-,0
511700,Ship It,0,0,0,-,278
605480,Fantasy Grounds  Daring Tales of Adventure 04 The Talons of LoPeng Savage Worlds,0,0,0,-,138
605490,One Hit KO,4,0,1,-,208
602920,Sketch Run,1,0,1,-,61
605590,Fantasy Grounds  Hellfrost The Eostre Festival Savage Worlds,0,0,0,-,102
605670,Fantasy Grounds  B04 The Cave Beast Hoard PFRPG,0,0,0,-,138
605690,Holodrive  Founders Pack,1,0,1,-,0
605700,Fantasy Grounds  Gauntlet of Spiragos PFRPG,0,0,0,-,22
325060,Parallax,104,85,3,-,102
605957,Plague Needle  Awesomenauts Droppod,0,0,0,-,148
605959,Hellion T50  Awesomenauts Droppod,0,0,0,-,92
605980,StarLightRiders HyperJump,0,0,0,-,0
573880,Heaven Island LIFE  Artworks,7,0,1,-,0
553530,Teratini VR,1,0,1,-,278
468740,Snow Fortress,0,0,0,-,268
574320,Gunmetal Arcadia OST,0,0,0,-,120
574460,Fantasy Grounds  MiniDungeon 013 The Case of the Scrupulous Pawnbroker PFRPG,0,0,0,-,66
574490,Fantasy Grounds  Legendary Planet The Scavenged Codex 5E,0,0,0,-,298
574500,Gearend,9,0,1,-,278
574710,Dark Shores,4,0,1,-,118
574730,Tornuffalo  BuffalSnow Blizzard Local Multiplayer Party Mode,1,0,1,-,0
574750,Zombie Playground OST,0,0,0,-,228
592990,ChemCaper Act I  Petticles in Peril,4,0,1,-,449
574780,Naughty Or Nice,5,0,1,-,0
574790,Bedfellows FRENZY Original Sound Track,1,0,1,-,148
574880,Sports Skin Bundle or Buy Us Another Coke  Trimmer Tycoon,0,0,0,-,61
574964,Wars across the World Bulge 1944,1,0,1,-,0
574970,Vex  World 2 Unlock,0,0,0,-,30
574971,Vex  World 3 Unlock,0,0,0,-,30
574972,Vex  World 4 Unlock,0,0,0,-,30
575030,Baru and the Spirit Prince,1,0,1,-,120
575060,Nemo DO,0,0,0,-,82
575080,Pleasure in Dream,1,0,1,-,178
575170,Dont Mess Up,0,0,0,-,0
518640,Dragon Skies VR,0,0,0,-,0
575190,Gnomes vs Fairies Greckels Quest  OST,0,0,0,-,45
510060,Punch Bomb,0,0,0,-,208
369960,Ongaku Triangle Pack,0,0,0,-,22
369970,Ongaku Trippy Pack,0,0,0,-,22
369980,Ongaku Zombie Pack,0,0,0,-,22
370110,Ongaku Soundtrack,0,0,0,-,22
370230,InsanZ  KiLL The EnginE,2,0,1,-,22
370330,Welcome To The Untitled Game,0,0,0,-,0
370430,Horizon Shift  Soundtrack,3,0,1,-,92
370450,Space Rogue  Soundtrack,0,0,0,-,178
370530,8Bit Adventures The Forgotten Journey Remastered Edition Demo,3,0,1,-,0
370880,FREE China Theme Pack,4,0,1,-,0
370960,Train Simulator Epic Journeys,0,0,0,-,868
370970,Unlimited Escape 3  4 Double Pack,3,0,1,-,208
371060,Starpoint Gemini 2 Origins,0,0,0,-,0
371070,Janky Tanks Demo,2,0,1,-,0
371120,Discouraged Workers,74,60,3,R,398
390620,An Alien with a Magnet,3,0,1,-,66
371470,Office and apartment buildings US style,0,0,0,-,368
371471,Carset Porsche and Mercedes,0,0,0,-,368
371472,Trans Europ Express VT 115,0,0,0,-,368
371492,VT 115,0,0,0,-,368
371620,SBX Invasion,3,0,1,-,61
371700,Hypership Out of Control 2,0,0,0,-,102
371800,Technobabylon Demo,0,0,0,-,0
371870,Act 3 Soundtrack,0,0,0,-,148
371900,Pillar,8,0,1,-,228
492500,Heroes of the Monkey Tavern,249,75,2,-,299
565500,Fantasy Grounds  The Last Parsec Omariss Death Worm Savage Worlds,0,0,0,-,102
565540,The Turkey of Christmas Past,1,0,1,-,258
549110,Magi Trials  Soundtrack,0,0,0,-,66
549111,Magi Trials  Wallpapers,2,0,1,-,66
549220,Dark Canvas A Brush With Death Collectors Edition,1,0,1,-,278
549230,Fantasy Grounds  Sundered Skies Mists of the Savannah Savage Worlds,0,0,0,-,172
549250,Fantasy Grounds  MiniDungeon 008 Carrionholme 5E,0,0,0,-,66
549370,Fantasy Grounds  Starfall PFRPG,0,0,0,-,278
549470,Robotpencil Presents Speed Painting From Abstract Shapes,0,0,0,-,82
549530,Robotpencil Presents Speed Designing,0,0,0,-,66
549550,Robotpencil Presents How To Improve Your Weaknesses,1,0,1,-,92
549570,Robotpencil Presents Painting Rusty Armor,0,0,0,-,92
549590,Robotpencil Presents Power of Lighting,2,0,1,-,120
549630,Zenza OST,2,0,1,-,0
549640,Izanamis Dream Battle Original Soundtrack,1,0,1,-,0
549650,FrightShow Fighter  Soundtrack,0,0,0,-,178
549660,Wondee,1,0,1,-,82
549800,Stellar Stars  Soundtrack,0,0,0,-,148
549940,Magical Mysteries Original Soundtrack,0,0,0,-,61
549990,Cobalt Dedicated Server,0,0,0,-,0
550070,Multimirror  Soundtrack,0,0,0,-,61
550200,World Destroyers,2,0,1,-,208
550260,Fantasy Grounds  Hellfrost Shadows of Darkness,0,0,0,-,152
550370,The Last Sin,0,0,0,-,0
418140,ATrain 9 V40  Mega Japan Train Pack,1,0,1,-,0
418220,LEGO MARVELs Avengers  The Avengers Explorer Character Pack,2,0,1,C12,21
